Time,Vm
28.26,-68.2678
28.261,-68.2983
28.262,-68.2373
28.263,-68.2068
28.264,-68.4509
28.265,-68.3289
28.266,-68.3594
28.267,-68.3289
28.268,-68.4814
28.269,-68.4204
28.27,-68.3594
28.271,-68.3899
28.272,-68.3289
28.273,-68.2678
28.274,-68.3289
28.275,-68.3289
28.276,-68.2678
28.277,-68.3594
28.278,-68.3899
28.279,-68.2678
28.28,-68.1458
28.281,-68.3594
28.282,-68.3594
28.283,-68.3899
28.284,-68.3594
28.285,-68.4204
28.286,-68.3594
28.287,-68.3289
28.288,-68.4204
28.289,-68.2373
28.29,-68.3594
28.291,-68.4204
28.292,-68.3899
28.293,-68.3594
28.294,-68.3289
28.295,-68.2373
28.296,-68.2678
28.297,-68.2373
28.298,-68.3289
28.299,-68.3289
28.3,-68.4814
28.301,-68.512
28.302,-68.4814
28.303,-68.3594
28.304,-68.4204
28.305,-68.3594
28.306,-68.3289
28.307,-68.3899
28.308,-68.4509
28.309,-68.3594
28.31,-68.3289
28.311,-68.2373
28.312,-68.1763
28.313,-68.2373
28.314,-68.3899
28.315,-68.3289
28.316,-68.4814
28.317,-68.3594
28.318,-68.4509
28.319,-68.3594
28.32,-68.2678
28.321,-68.4204
28.322,-68.2068
28.323,-68.3289
28.324,-68.3289
28.325,-68.3594
28.326,-68.3289
28.327,-68.2678
28.328,-68.2983
28.329,-68.3289
28.33,-68.2983
28.331,-68.2678
28.332,-68.3899
28.333,-68.512
28.334,-68.3899
28.335,-68.4814
28.336,-68.2678
28.337,-68.4509
28.338,-68.2983
28.339,-68.2678
28.34,-68.2373
28.341,-68.2983
28.342,-68.3594
28.343,-68.3594
28.344,-68.2678
28.345,-68.1458
28.346,-68.2678
28.347,-68.1763
28.348,-68.2678
28.349,-68.3289
28.35,-68.3594
28.351,-68.2373
28.352,-68.3289
28.353,-68.2983
28.354,-68.3899
28.355,-68.3594
28.356,-68.1763
28.357,-68.2983
28.358,-68.2373
28.359,-68.2373
28.36,-68.3899
28.361,-68.1763
28.362,-68.2373
28.363,-68.2068
28.364,-68.1763
28.365,-68.2068
28.366,-68.3289
28.367,-68.3289
28.368,-68.3289
28.369,-68.2373
28.37,-68.2373
28.371,-68.2983
28.372,-68.3594
28.373,-68.1152
28.374,-68.2373
28.375,-68.1458
28.376,-68.2068
28.377,-68.0847
28.378,-68.2678
28.379,-68.1763
28.38,-68.1458
28.381,-68.1152
28.382,-68.1763
28.383,-68.1763
28.384,-68.2068
28.385,-68.3594
28.386,-68.2068
28.387,-68.2983
28.388,-68.2983
28.389,-68.2678
28.39,-68.0237
28.391,-68.2373
28.392,-68.2983
28.393,-68.1763
28.394,-67.9932
28.395,-68.1763
28.396,-68.2678
28.397,-68.1458
28.398,-68.2983
28.399,-68.2373
28.4,-68.2373
28.401,-68.2678
28.402,-68.2678
28.403,-68.1152
28.404,-68.2068
28.405,-68.2373
28.406,-67.9932
28.407,-68.1763
28.408,-68.2068
